"","A","B","C","D","PROKKA","ko","D_shorthand","sample"
"44","Metabolism"," Overview","  01200 Carbon metabolism [PATH:ko01200]","acetyl-CoA carboxylase, biotin carboxylase subunit","01469","K01961","accC","2010-347972"
"45","Metabolism"," Overview","  01200 Carbon metabolism [PATH:ko01200]","formate dehydrogenase beta subunit","01422","K15022","fdhB","2010-347972"
"46","Metabolism"," Overview","  01200 Carbon metabolism [PATH:ko01200]","formate--tetrahydrofolate ligase","00722","K01938","fhs","2010-347972"
"47","Metabolism"," Overview","  01200 Carbon metabolism [PATH:ko01200]","formate dehydrogenase major subunit","00605","K00123","fdoG, fdfH","2010-347972"
"48","Metabolism"," Overview","  01200 Carbon metabolism [PATH:ko01200]","formate dehydrogenase major subunit","00606","K00123","fdoG, fdfH","2010-347972"
"49","Metabolism"," Overview","  01200 Carbon metabolism [PATH:ko01200]","formate dehydrogenase major subunit","00829","K00123","fdoG, fdfH","2010-347972"
"50","Metabolism"," Overview","  01200 Carbon metabolism [PATH:ko01200]","formate dehydrogenase major subunit","01133","K00123","fdoG, fdfH","2010-347972"
"51","Metabolism"," Overview","  01200 Carbon metabolism [PATH:ko01200]","formate dehydrogenase iron-sulfur subunit","00604","K00124","fdoH","2010-347972"
"52","Metabolism"," Overview","  01200 Carbon metabolism [PATH:ko01200]","formate dehydrogenase iron-sulfur subunit","00830","K00124","fdoH","2010-347972"
"53","Metabolism"," Overview","  01200 Carbon metabolism [PATH:ko01200]","formate dehydrogenase subunit gamma","00831","K00127","fdoI","2010-347972"
"54","Metabolism"," Overview","  01200 Carbon metabolism [PATH:ko01200]","formate dehydrogenase subunit gamma","01175","K00127","fdoI","2010-347972"
"55","Metabolism"," Overview","  01200 Carbon metabolism [PATH:ko01200]","glycerate dehydrogenase","00667","K00018","hprA","2010-347972"
"56","Metabolism"," Overview","  01200 Carbon metabolism [PATH:ko01200]","D-3-phosphoglycerate dehydrogenase","01256","K00058","serA, PHGDH","2010-347972"
"57","Metabolism"," Overview","  01200 Carbon metabolism [PATH:ko01200]","phosphoserine aminotransferase","01771","K00831","serC, PSAT1","2010-347972"
"58","Metabolism"," Overview","  01200 Carbon metabolism [PATH:ko01200]","phosphoserine phosphatase","00579","K01079","serB, PSPH","2010-347972"
"59","Metabolism"," Overview","  01200 Carbon metabolism [PATH:ko01200]","L-serine dehydratase","01325","K01752","E4.3.1.17, sdaA, sdaB, tdcG","2010-347972"
"60","Metabolism"," Overview","  01200 Carbon metabolism [PATH:ko01200]","cysteine synthase B","01361","K12339","cysM","2010-347972"
"61","Metabolism"," Overview","  01210 2-Oxocarboxylic acid metabolism [PATH:ko01210]","cysteine synthase B","01361","K12339","cysM","2010-347972"
"62","Metabolism"," Overview","  01210 2-Oxocarboxylic acid metabolism [PATH:ko01210]","citrate synthase","00002","K01647","CS, gltA","2010-347972"
"63","Metabolism"," Overview","  01210 2-Oxocarboxylic acid metabolism [PATH:ko01210]","isocitrate dehydrogenase","01508","K00031","IDH1, IDH2, icd","2010-347972"
"64","Metabolism"," Overview","  01210 2-Oxocarboxylic acid metabolism [PATH:ko01210]","glutamate N-acetyltransferase / amino-acid N-acetyltransferase","00304","K00620","argJ","2010-347972"
"65","Metabolism"," Overview","  01210 2-Oxocarboxylic acid metabolism [PATH:ko01210]","acetylornithine/N-succinyldiaminopimelate aminotransferase","00852","K00821","argD","2010-347972"
"66","Metabolism"," Overview","  01210 2-Oxocarboxylic acid metabolism [PATH:ko01210]","3-isopropylmalate/(R)-2-methylmalate dehydratase large subunit","00085","K01703","leuC, IPMI-L","2010-347972"
"67","Metabolism"," Overview","  01210 2-Oxocarboxylic acid metabolism [PATH:ko01210]","3-isopropylmalate/(R)-2-methylmalate dehydratase large subunit","00968","K01703","leuC, IPMI-L","2010-347972"
"68","Metabolism"," Overview","  01210 2-Oxocarboxylic acid metabolism [PATH:ko01210]","3-isopropylmalate/(R)-2-methylmalate dehydratase large subunit","01397","K01703","leuC, IPMI-L","2010-347972"
"69","Metabolism"," Overview","  01210 2-Oxocarboxylic acid metabolism [PATH:ko01210]","3-isopropylmalate/(R)-2-methylmalate dehydratase small subunit","00398","K01704","leuD, IPMI-S","2010-347972"
"70","Metabolism"," Overview","  01210 2-Oxocarboxylic acid metabolism [PATH:ko01210]","3-isopropylmalate/(R)-2-methylmalate dehydratase small subunit","00967","K01704","leuD, IPMI-S","2010-347972"
"71","Metabolism"," Overview","  01210 2-Oxocarboxylic acid metabolism [PATH:ko01210]","3-isopropylmalate/(R)-2-methylmalate dehydratase small subunit","01396","K01704","leuD, IPMI-S","2010-347972"
"72","Metabolism"," Overview","  01210 2-Oxocarboxylic acid metabolism [PATH:ko01210]","3-isopropylmalate dehydrogenase","00399","K00052","leuB, IMDH","2010-347972"
"73","Metabolism"," Overview","  01210 2-Oxocarboxylic acid metabolism [PATH:ko01210]","3-isopropylmalate dehydrogenase","00969","K00052","leuB, IMDH","2010-347972"
"74","Metabolism"," Overview","  01210 2-Oxocarboxylic acid metabolism [PATH:ko01210]","dihydroxy-acid dehydratase","00267","K01687","ilvD","2010-347972"
"75","Metabolism"," Overview","  01210 2-Oxocarboxylic acid metabolism [PATH:ko01210]","dihydroxy-acid dehydratase","01081","K01687","ilvD","2010-347972"
"76","Metabolism"," Overview","  01210 2-Oxocarboxylic acid metabolism [PATH:ko01210]","branched-chain amino acid aminotransferase","01139","K00826","E2.6.1.42, ilvE","2010-347972"
"77","Metabolism"," Overview","  01210 2-Oxocarboxylic acid metabolism [PATH:ko01210]","2-isopropylmalate synthase","00970","K01649","leuA, IMS","2010-347972"
"78","Metabolism"," Overview","  01212 Fatty acid metabolism [PATH:ko01212]","2-isopropylmalate synthase","00970","K01649","leuA, IMS","2010-347972"
"79","Metabolism"," Overview","  01212 Fatty acid metabolism [PATH:ko01212]","acetyl-CoA carboxylase biotin carboxyl carrier protein","01470","K02160","accB, bccP","2010-347972"
"80","Metabolism"," Overview","  01212 Fatty acid metabolism [PATH:ko01212]","acetyl-CoA carboxylase, biotin carboxylase subunit","01469","K01961","accC","2010-347972"
"81","Metabolism"," Overview","  01212 Fatty acid metabolism [PATH:ko01212]","[acyl-carrier-protein] S-malonyltransferase","01290","K00645","fabD","2010-347972"
"82","Metabolism"," Overview","  01212 Fatty acid metabolism [PATH:ko01212]","3-oxoacyl-[acyl-carrier-protein] synthase III","01289","K00648","fabH","2010-347972"
"83","Metabolism"," Overview","  01212 Fatty acid metabolism [PATH:ko01212]","3-oxoacyl-[acyl-carrier-protein] synthase I","00844","K00647","fabB","2010-347972"
"84","Metabolism"," Overview","  01212 Fatty acid metabolism [PATH:ko01212]","3-oxoacyl-[acyl-carrier-protein] synthase II","00847","K09458","fabF","2010-347972"
"85","Metabolism"," Overview","  01212 Fatty acid metabolism [PATH:ko01212]","3-oxoacyl-[acyl-carrier-protein] synthase II","01293","K09458","fabF","2010-347972"
"86","Metabolism"," Overview","  01212 Fatty acid metabolism [PATH:ko01212]","3-oxoacyl-[acyl-carrier protein] reductase","00846","K00059","fabG","2010-347972"
"87","Metabolism"," Overview","  01212 Fatty acid metabolism [PATH:ko01212]","3-oxoacyl-[acyl-carrier protein] reductase","01291","K00059","fabG","2010-347972"
"88","Metabolism"," Overview","  01212 Fatty acid metabolism [PATH:ko01212]","3-hydroxyacyl-[acyl-carrier-protein] dehydratase","01315","K02372","fabZ","2010-347972"
"89","Metabolism"," Overview","  01212 Fatty acid metabolism [PATH:ko01212]","3-hydroxyacyl-[acyl-carrier-protein] dehydratase","01330","K02372","fabZ","2010-347972"
"90","Metabolism"," Overview","  01212 Fatty acid metabolism [PATH:ko01212]","enoyl-[acyl-carrier protein] reductase I","00762","K00208","fabI","2010-347972"
"91","Metabolism"," Overview","  01212 Fatty acid metabolism [PATH:ko01212]","long-chain acyl-CoA synthetase","00481","K01897","ACSL, fadD","2010-347972"
"92","Metabolism"," Overview","  01212 Fatty acid metabolism [PATH:ko01212]","long-chain acyl-CoA synthetase","00925","K01897","ACSL, fadD","2010-347972"
"93","Metabolism"," Overview","  01212 Fatty acid metabolism [PATH:ko01212]","long-chain acyl-CoA synthetase","01179","K01897","ACSL, fadD","2010-347972"
"94","Metabolism"," Overview","  01230 Biosynthesis of amino acids [PATH:ko01230]","long-chain acyl-CoA synthetase","01179","K01897","ACSL, fadD","2010-347972"
"95","Metabolism"," Overview","  01230 Biosynthesis of amino acids [PATH:ko01230]","triosephosphate isomerase (TIM)","00763","K01803","TPI, tpiA","2010-347972"
"96","Metabolism"," Overview","  01230 Biosynthesis of amino acids [PATH:ko01230]","glyceraldehyde 3-phosphate dehydrogenase","00765","K00134","GAPDH, gapA","2010-347972"
"97","Metabolism"," Overview","  01230 Biosynthesis of amino acids [PATH:ko01230]","phosphoglycerate kinase","00764","K00927","PGK, pgk","2010-347972"
"98","Metabolism"," Overview","  01230 Biosynthesis of amino acids [PATH:ko01230]","2,3-bisphosphoglycerate-independent phosphoglycerate mutase","00774","K15633","gpmI","2010-347972"
"99","Metabolism"," Overview","  01230 Biosynthesis of amino acids [PATH:ko01230]","2,3-bisphosphoglycerate-independent phosphoglycerate mutase","01043","K15633","gpmI","2010-347972"
"100","Metabolism"," Overview","  01230 Biosynthesis of amino acids [PATH:ko01230]","enolase","00025","K01689","ENO, eno","2010-347972"
"101","Metabolism"," Overview","  01230 Biosynthesis of amino acids [PATH:ko01230]","enolase","00900","K01689","ENO, eno","2010-347972"
"102","Metabolism"," Overview","  01230 Biosynthesis of amino acids [PATH:ko01230]","fructose-bisphosphate aldolase, class II","01784","K01624","FBA, fbaA","2010-347972"
"103","Metabolism"," Overview","  01230 Biosynthesis of amino acids [PATH:ko01230]","transketolase","00250","K00615","E2.2.1.1, tktA, tktB","2010-347972"
"104","Metabolism"," Overview","  01230 Biosynthesis of amino acids [PATH:ko01230]","transaldolase","00578","K00616","E2.2.1.2, talA, talB","2010-347972"
"105","Metabolism"," Overview","  01230 Biosynthesis of amino acids [PATH:ko01230]","ribose-phosphate pyrophosphokinase","01477","K00948","PRPS, prsA","2010-347972"
"106","Metabolism"," Overview","  01230 Biosynthesis of amino acids [PATH:ko01230]","3-isopropylmalate/(R)-2-methylmalate dehydratase large subunit","00085","K01703","leuC, IPMI-L","2010-347972"
"107","Metabolism"," Overview","  01230 Biosynthesis of amino acids [PATH:ko01230]","3-isopropylmalate/(R)-2-methylmalate dehydratase large subunit","00968","K01703","leuC, IPMI-L","2010-347972"
"108","Metabolism"," Overview","  01230 Biosynthesis of amino acids [PATH:ko01230]","3-isopropylmalate/(R)-2-methylmalate dehydratase large subunit","01397","K01703","leuC, IPMI-L","2010-347972"
"109","Metabolism"," Overview","  01230 Biosynthesis of amino acids [PATH:ko01230]","3-isopropylmalate/(R)-2-methylmalate dehydratase small subunit","00398","K01704","leuD, IPMI-S","2010-347972"
"110","Metabolism"," Overview","  01230 Biosynthesis of amino acids [PATH:ko01230]","3-isopropylmalate/(R)-2-methylmalate dehydratase small subunit","00967","K01704","leuD, IPMI-S","2010-347972"
"111","Metabolism"," Overview","  01230 Biosynthesis of amino acids [PATH:ko01230]","3-isopropylmalate/(R)-2-methylmalate dehydratase small subunit","01396","K01704","leuD, IPMI-S","2010-347972"
"112","Metabolism"," Overview","  01230 Biosynthesis of amino acids [PATH:ko01230]","3-isopropylmalate dehydrogenase","00399","K00052","leuB, IMDH","2010-347972"
"113","Metabolism"," Overview","  01230 Biosynthesis of amino acids [PATH:ko01230]","3-isopropylmalate dehydrogenase","00969","K00052","leuB, IMDH","2010-347972"
"114","Metabolism"," Overview","  01230 Biosynthesis of amino acids [PATH:ko01230]","dihydroxy-acid dehydratase","00267","K01687","ilvD","2010-347972"
"115","Metabolism"," Overview","  01230 Biosynthesis of amino acids [PATH:ko01230]","dihydroxy-acid dehydratase","01081","K01687","ilvD","2010-347972"
"116","Metabolism"," Overview","  01230 Biosynthesis of amino acids [PATH:ko01230]","branched-chain amino acid aminotransferase","01139","K00826","E2.6.1.42, ilvE","2010-347972"
"117","Metabolism"," Overview","  01230 Biosynthesis of amino acids [PATH:ko01230]","2-isopropylmalate synthase","00970","K01649","leuA, IMS","2010-347972"
"118","Metabolism"," Overview","  01230 Biosynthesis of amino acids [PATH:ko01230]","L-serine dehydratase","01325","K01752","E4.3.1.17, sdaA, sdaB, tdcG","2010-347972"
"119","Metabolism"," Overview","  01230 Biosynthesis of amino acids [PATH:ko01230]","D-3-phosphoglycerate dehydrogenase","01256","K00058","serA, PHGDH","2010-347972"
"120","Metabolism"," Overview","  01230 Biosynthesis of amino acids [PATH:ko01230]","phosphoserine aminotransferase","01771","K00831","serC, PSAT1","2010-347972"
"121","Metabolism"," Overview","  01230 Biosynthesis of amino acids [PATH:ko01230]","phosphoserine phosphatase","00579","K01079","serB, PSPH","2010-347972"
"122","Metabolism"," Overview","  01230 Biosynthesis of amino acids [PATH:ko01230]","cysteine synthase B","01361","K12339","cysM","2010-347972"
"123","Metabolism"," Overview","  01230 Biosynthesis of amino acids [PATH:ko01230]","threonine synthase","01092","K01733","thrC","2010-347972"
"124","Metabolism"," Overview","  01230 Biosynthesis of amino acids [PATH:ko01230]","threonine synthase","01401","K01733","thrC","2010-347972"
"125","Metabolism"," Overview","  01230 Biosynthesis of amino acids [PATH:ko01230]","glutamine synthetase","01503","K01915","glnA, GLUL","2010-347972"
"126","Metabolism"," Overview","  01230 Biosynthesis of amino acids [PATH:ko01230]","glutamate synthase (NADPH/NADH) large chain","01138","K00265","gltB","2010-347972"
"127","Metabolism"," Overview","  01230 Biosynthesis of amino acids [PATH:ko01230]","glutamate synthase (NADPH/NADH) small chain","01137","K00266","gltD","2010-347972"
"128","Metabolism"," Overview","  01230 Biosynthesis of amino acids [PATH:ko01230]","homoserine O-succinyltransferase","00950","K00651","metA","2010-347972"
"129","Metabolism"," Overview","  01230 Biosynthesis of amino acids [PATH:ko01230]","cystathionine beta-lyase","00203","K01760","metC","2010-347972"
"130","Metabolism"," Overview","  01230 Biosynthesis of amino acids [PATH:ko01230]","cystathionine beta-lyase","00873","K01760","metC","2010-347972"
"131","Metabolism"," Overview","  01230 Biosynthesis of amino acids [PATH:ko01230]","cystathione beta-lyase","00201","K14155","patB, malY","2010-347972"
"132","Metabolism"," Overview","  01230 Biosynthesis of amino acids [PATH:ko01230]","cystathione beta-lyase","00874","K14155","patB, malY","2010-347972"
"133","Metabolism"," Overview","  01230 Biosynthesis of amino acids [PATH:ko01230]","5-methyltetrahydropteroyltriglutamate--homocysteine methyltransferase","01544","K00549","metE","2010-347972"
"134","Metabolism"," Overview","  01230 Biosynthesis of amino acids [PATH:ko01230]","S-ribosylhomocysteine lyase","00121","K07173","luxS","2010-347972"
"135","Metabolism"," Overview","  01230 Biosynthesis of amino acids [PATH:ko01230]","pyruvate carboxylase","01069","K01958","PC, pyc","2010-347972"
"136","Metabolism"," Overview","  01230 Biosynthesis of amino acids [PATH:ko01230]","pyruvate carboxylase subunit B","00732","K01960","pycB","2010-347972"
"137","Metabolism"," Overview","  01230 Biosynthesis of amino acids [PATH:ko01230]","citrate synthase","00002","K01647","CS, gltA","2010-347972"
"138","Metabolism"," Overview","  01230 Biosynthesis of amino acids [PATH:ko01230]","isocitrate dehydrogenase","01508","K00031","IDH1, IDH2, icd","2010-347972"
"139","Metabolism"," Overview","  01230 Biosynthesis of amino acids [PATH:ko01230]","glutamate N-acetyltransferase / amino-acid N-acetyltransferase","00304","K00620","argJ","2010-347972"
"140","Metabolism"," Overview","  01230 Biosynthesis of amino acids [PATH:ko01230]","acetylornithine/N-succinyldiaminopimelate aminotransferase","00852","K00821","argD","2010-347972"
"141","Metabolism"," Overview","  01230 Biosynthesis of amino acids [PATH:ko01230]","argininosuccinate lyase","01047","K01755","argH, ASL","2010-347972"
"142","Metabolism"," Overview","  01230 Biosynthesis of amino acids [PATH:ko01230]","argininosuccinate lyase","01097","K01755","argH, ASL","2010-347972"
"143","Metabolism"," Overview","  01230 Biosynthesis of amino acids [PATH:ko01230]","argininosuccinate lyase","01247","K01755","argH, ASL","2010-347972"
"144","Metabolism"," Overview","  01230 Biosynthesis of amino acids [PATH:ko01230]","glutamate 5-kinase","00315","K00931","proB","2010-347972"
"145","Metabolism"," Overview","  01230 Biosynthesis of amino acids [PATH:ko01230]","pyrroline-5-carboxylate reductase","00135","K00286","proC","2010-347972"
"146","Metabolism"," Overview","  01230 Biosynthesis of amino acids [PATH:ko01230]","succinyl-diaminopimelate desuccinylase","00322","K01439","dapE","2010-347972"
"147","Metabolism"," Overview","  01230 Biosynthesis of amino acids [PATH:ko01230]","diaminopimelate decarboxylase","00430","K01586","lysA","2010-347972"
"148","Metabolism"," Overview","  01230 Biosynthesis of amino acids [PATH:ko01230]","diaminopimelate decarboxylase","00574","K01586","lysA","2010-347972"
"149","Metabolism"," Overview","  01230 Biosynthesis of amino acids [PATH:ko01230]","ATP phosphoribosyltransferase","01240","K00765","hisG","2010-347972"
"150","Metabolism"," Overview","  01230 Biosynthesis of amino acids [PATH:ko01230]","phosphoribosylformimino-5-aminoimidazole carboxamide ribotide isomerase","01812","K01814","hisA","2010-347972"
"151","Metabolism"," Overview","  01230 Biosynthesis of amino acids [PATH:ko01230]","glutamine amidotransferase","00632","K02501","hisH","2010-347972"
"152","Metabolism"," Overview","  01230 Biosynthesis of amino acids [PATH:ko01230]","glutamine amidotransferase","01813","K02501","hisH","2010-347972"
"153","Metabolism"," Overview","  01230 Biosynthesis of amino acids [PATH:ko01230]","imidazoleglycerol-phosphate dehydratase / histidinol-phosphatase","01237","K01089","hisB","2010-347972"
"154","Metabolism"," Overview","  01230 Biosynthesis of amino acids [PATH:ko01230]","histidinol-phosphate aminotransferase","00572","K00817","hisC","2010-347972"
"155","Metabolism"," Overview","  01230 Biosynthesis of amino acids [PATH:ko01230]","histidinol-phosphate aminotransferase","00824","K00817","hisC","2010-347972"
"156","Metabolism"," Overview","  01230 Biosynthesis of amino acids [PATH:ko01230]","histidinol-phosphate aminotransferase","01238","K00817","hisC","2010-347972"
"157","Metabolism"," Overview","  01230 Biosynthesis of amino acids [PATH:ko01230]","histidinol dehydrogenase","00379","K00013","hisD","2010-347972"
"158","Metabolism"," Overview","  01230 Biosynthesis of amino acids [PATH:ko01230]","histidinol dehydrogenase","01239","K00013","hisD","2010-347972"
"159","Metabolism"," Overview","  01230 Biosynthesis of amino acids [PATH:ko01230]","3-deoxy-7-phosphoheptulonate synthase","00951","K03856","AROA2, aroA","2010-347972"
"160","Metabolism"," Overview","  01230 Biosynthesis of amino acids [PATH:ko01230]","3-dehydroquinate synthase","00952","K01735","aroB","2010-347972"
"161","Metabolism"," Overview","  01230 Biosynthesis of amino acids [PATH:ko01230]","3-dehydroquinate dehydratase I","01612","K03785","aroD","2010-347972"
"162","Metabolism"," Overview","  01230 Biosynthesis of amino acids [PATH:ko01230]","3-dehydroquinate dehydratase I","01651","K03785","aroD","2010-347972"
"163","Metabolism"," Overview","  01230 Biosynthesis of amino acids [PATH:ko01230]","shikimate dehydrogenase","00955","K00014","aroE","2010-347972"
"164","Metabolism"," Overview","  01230 Biosynthesis of amino acids [PATH:ko01230]","shikimate kinase","00589","K00891","E2.7.1.71, aroK, aroL","2010-347972"
"165","Metabolism"," Overview","  01230 Biosynthesis of amino acids [PATH:ko01230]","3-phosphoshikimate 1-carboxyvinyltransferase","00953","K00800","aroA","2010-347972"
"166","Metabolism"," Overview","  01230 Biosynthesis of amino acids [PATH:ko01230]","3-phosphoshikimate 1-carboxyvinyltransferase","01252","K00800","aroA","2010-347972"
"167","Metabolism"," Overview","  01230 Biosynthesis of amino acids [PATH:ko01230]","chorismate synthase","00954","K01736","aroC","2010-347972"
"168","Metabolism"," Overview","  01230 Biosynthesis of amino acids [PATH:ko01230]","chorismate synthase","01426","K01736","aroC","2010-347972"
"169","Metabolism"," Overview","  01230 Biosynthesis of amino acids [PATH:ko01230]","anthranilate synthase component I","00956","K01657","trpE","2010-347972"
"170","Metabolism"," Overview","  01230 Biosynthesis of amino acids [PATH:ko01230]","anthranilate synthase component II","00957","K01658","trpG","2010-347972"
"171","Metabolism"," Overview","  01230 Biosynthesis of amino acids [PATH:ko01230]","chorismate mutase / prephenate dehydrogenase","01190","K14187","tyrA","2010-347972"
"172","Metabolism"," Overview","  01230 Biosynthesis of amino acids [PATH:ko01230]","chorismate mutase / prephenate dehydratase","00573","K14170","pheA","2010-347972"
"173","Metabolism"," Overview","  01230 Biosynthesis of amino acids [PATH:ko01230]","aromatic-amino-acid transaminase","01656","K00832","tyrB","2010-347972"
"174","Metabolism"," Overview","  01220 Degradation of aromatic compounds [PATH:ko01220]","aromatic-amino-acid transaminase","01656","K00832","tyrB","2010-347972"
"175","Metabolism"," Overview","  01220 Degradation of aromatic compounds [PATH:ko01220]","4-carboxymuconolactone decarboxylase","00305","K01607","pcaC","2010-347972"
"176","Metabolism"," Overview","  01220 Degradation of aromatic compounds [PATH:ko01220]","4-carboxymuconolactone decarboxylase","01006","K01607","pcaC","2010-347972"
"177","Metabolism"," Carbohydrate metabolism","  01220 Degradation of aromatic compounds [PATH:ko01220]","4-carboxymuconolactone decarboxylase","01006","K01607","pcaC","2010-347972"
"178","Metabolism"," Carbohydrate metabolism","  00010 Glycolysis / Gluconeogenesis [PATH:ko00010]","4-carboxymuconolactone decarboxylase","01006","K01607","pcaC","2010-347972"
"179","Metabolism"," Carbohydrate metabolism","  00010 Glycolysis / Gluconeogenesis [PATH:ko00010]","fructose-1,6-bisphosphatase I","00801","K03841","FBP, fbp","2010-347972"
