"","A","B","C","D","PROKKA","ko","D_shorthand","sample"
"61","Metabolism"," Overview","  01200 Carbon metabolism [PATH:ko01200]","acetate kinase","00037","K00925","ackA","2010-33561_S7"
"62","Metabolism"," Overview","  01200 Carbon metabolism [PATH:ko01200]","phosphate acetyltransferase","00002","K13788","pta","2009-75775_S38"
"63","Metabolism"," Overview","  01200 Carbon metabolism [PATH:ko01200]","phosphate acetyltransferase","00038","K13788","pta","2010-33561_S7"
"64","Metabolism"," Overview","  01210 2-Oxocarboxylic acid metabolism [PATH:ko01210]","phosphate acetyltransferase","00038","K13788","pta","2010-33561_S7"
"65","Metabolism"," Overview","  01210 2-Oxocarboxylic acid metabolism [PATH:ko01210]","isocitrate dehydrogenase","00021","K00031","IDH1, IDH2, icd","2009-75775_S38"
"66","Metabolism"," Overview","  01210 2-Oxocarboxylic acid metabolism [PATH:ko01210]","isocitrate dehydrogenase","00055","K00031","IDH1, IDH2, icd","2010-33561_S7"
"67","Metabolism"," Overview","  01210 2-Oxocarboxylic acid metabolism [PATH:ko01210]","aspartate aminotransferase","00037","K00812","aspB","2009-75775_S38"
"68","Metabolism"," Overview","  01210 2-Oxocarboxylic acid metabolism [PATH:ko01210]","aspartate kinase","00290","K00928","lysC","2010-115605-O_S76"
"69","Metabolism"," Overview","  01210 2-Oxocarboxylic acid metabolism [PATH:ko01210]","3-isopropylmalate/(R)-2-methylmalate dehydratase large subunit","00329","K01703","leuC, IPMI-L","2010-378007-18092014_S17"
"70","Metabolism"," Overview","  01210 2-Oxocarboxylic acid metabolism [PATH:ko01210]","3-isopropylmalate/(R)-2-methylmalate dehydratase small subunit","00270","K01704","leuD, IPMI-S","2010-378007-18092014_S17"
"71","Metabolism"," Overview","  01210 2-Oxocarboxylic acid metabolism [PATH:ko01210]","dihydroxy-acid dehydratase","00005","K01687","ilvD","2009-91522_S49"
"72","Metabolism"," Overview","  01210 2-Oxocarboxylic acid metabolism [PATH:ko01210]","dihydroxy-acid dehydratase","00032","K01687","ilvD","2010-113332-O_S40"
"73","Metabolism"," Overview","  01210 2-Oxocarboxylic acid metabolism [PATH:ko01210]","dihydroxy-acid dehydratase","00005","K01687","ilvD","2013-39845_S58"
"74","Metabolism"," Overview","  01210 2-Oxocarboxylic acid metabolism [PATH:ko01210]","dihydroxy-acid dehydratase","00040","K01687","ilvD","GH124-slimy-large_S2"
"75","Metabolism"," Overview","  01210 2-Oxocarboxylic acid metabolism [PATH:ko01210]","dihydroxy-acid dehydratase","00019","K01687","ilvD","H21O-S2"
"76","Metabolism"," Overview","  01212 Fatty acid metabolism [PATH:ko01212]","dihydroxy-acid dehydratase","00019","K01687","ilvD","H21O-S2"
"77","Metabolism"," Overview","  01212 Fatty acid metabolism [PATH:ko01212]","acetyl-CoA carboxylase biotin carboxyl carrier protein","00140","K02160","accB, bccP","2010-378007-18092014_S17"
"78","Metabolism"," Overview","  01212 Fatty acid metabolism [PATH:ko01212]","acetyl-CoA carboxylase, biotin carboxylase subunit","00141","K01961","accC","2010-378007-18092014_S17"
"79","Metabolism"," Overview","  01212 Fatty acid metabolism [PATH:ko01212]","[acyl-carrier-protein] S-malonyltransferase","00087","K00645","fabD","2010-113332-O_S40"
"80","Metabolism"," Overview","  01212 Fatty acid metabolism [PATH:ko01212]","[acyl-carrier-protein] S-malonyltransferase","00010","K00645","fabD","2010-113862-O_S14"
"81","Metabolism"," Overview","  01212 Fatty acid metabolism [PATH:ko01212]","[acyl-carrier-protein] S-malonyltransferase","00069","K00645","fabD","2010-33561_S7"
"82","Metabolism"," Overview","  01212 Fatty acid metabolism [PATH:ko01212]","3-hydroxyacyl-[acyl-carrier-protein] dehydratase","00156","K02372","fabZ","2010-115605-O_S76"
"83","Metabolism"," Overview","  01212 Fatty acid metabolism [PATH:ko01212]","3-hydroxyacyl-[acyl-carrier-protein] dehydratase","00248","K02372","fabZ","2010-115605-O_S76"
"84","Metabolism"," Overview","  01212 Fatty acid metabolism [PATH:ko01212]","enoyl-[acyl-carrier protein] reductase I","00136","K00208","fabI","2010-115605-O_S76"
"85","Metabolism"," Overview","  01212 Fatty acid metabolism [PATH:ko01212]","enoyl-[acyl-carrier protein] reductase I","00139","K00208","fabI","2010-115605-O_S76"
"86","Metabolism"," Overview","  01212 Fatty acid metabolism [PATH:ko01212]","enoyl-[acyl-carrier protein] reductase I","00125","K00208","fabI","2010-378007-18092014_S17"
"87","Metabolism"," Overview","  01212 Fatty acid metabolism [PATH:ko01212]","enoyl-[acyl-carrier protein] reductase I","00002","K00208","fabI","GH124-SMALL-CLEAR_S12"
"88","Metabolism"," Overview","  01212 Fatty acid metabolism [PATH:ko01212]","enoyl-[acyl-carrier protein] reductase I","00021","K00208","fabI","H23O-S1"
"89","Metabolism"," Overview","  01212 Fatty acid metabolism [PATH:ko01212]","enoyl-[acyl-carrier protein] reductase I","00002","K00208","fabI","P2CDO-S6"
"90","Metabolism"," Overview","  01212 Fatty acid metabolism [PATH:ko01212]","long-chain acyl-CoA synthetase","00103","K01897","ACSL, fadD","2010-131105_S62"
"91","Metabolism"," Overview","  01230 Biosynthesis of amino acids [PATH:ko01230]","long-chain acyl-CoA synthetase","00103","K01897","ACSL, fadD","2010-131105_S62"
"92","Metabolism"," Overview","  01230 Biosynthesis of amino acids [PATH:ko01230]","triosephosphate isomerase (TIM)","00140","K01803","TPI, tpiA","2010-115605-O_S76"
"93","Metabolism"," Overview","  01230 Biosynthesis of amino acids [PATH:ko01230]","triosephosphate isomerase (TIM)","00316","K01803","TPI, tpiA","2010-115605-O_S76"
"94","Metabolism"," Overview","  01230 Biosynthesis of amino acids [PATH:ko01230]","triosephosphate isomerase (TIM)","00124","K01803","TPI, tpiA","2010-378007-18092014_S17"
"95","Metabolism"," Overview","  01230 Biosynthesis of amino acids [PATH:ko01230]","triosephosphate isomerase (TIM)","00004","K01803","TPI, tpiA","GH124-SMALL-CLEAR_S12"
"96","Metabolism"," Overview","  01230 Biosynthesis of amino acids [PATH:ko01230]","triosephosphate isomerase (TIM)","00022","K01803","TPI, tpiA","H23O-S1"
"97","Metabolism"," Overview","  01230 Biosynthesis of amino acids [PATH:ko01230]","triosephosphate isomerase (TIM)","00003","K01803","TPI, tpiA","P2CDO-S6"
"98","Metabolism"," Overview","  01230 Biosynthesis of amino acids [PATH:ko01230]","glyceraldehyde 3-phosphate dehydrogenase","00142","K00134","GAPDH, gapA","2010-115605-O_S76"
"99","Metabolism"," Overview","  01230 Biosynthesis of amino acids [PATH:ko01230]","glyceraldehyde 3-phosphate dehydrogenase","00318","K00134","GAPDH, gapA","2010-115605-O_S76"
"100","Metabolism"," Overview","  01230 Biosynthesis of amino acids [PATH:ko01230]","glyceraldehyde 3-phosphate dehydrogenase","00122","K00134","GAPDH, gapA","2010-378007-18092014_S17"
"101","Metabolism"," Overview","  01230 Biosynthesis of amino acids [PATH:ko01230]","glyceraldehyde 3-phosphate dehydrogenase","00006","K00134","GAPDH, gapA","GH124-SMALL-CLEAR_S12"
"102","Metabolism"," Overview","  01230 Biosynthesis of amino acids [PATH:ko01230]","glyceraldehyde 3-phosphate dehydrogenase","00024","K00134","GAPDH, gapA","H23O-S1"
"103","Metabolism"," Overview","  01230 Biosynthesis of amino acids [PATH:ko01230]","glyceraldehyde 3-phosphate dehydrogenase","00005","K00134","GAPDH, gapA","P2CDO-S6"
"104","Metabolism"," Overview","  01230 Biosynthesis of amino acids [PATH:ko01230]","phosphoglycerate kinase","00141","K00927","PGK, pgk","2010-115605-O_S76"
"105","Metabolism"," Overview","  01230 Biosynthesis of amino acids [PATH:ko01230]","phosphoglycerate kinase","00317","K00927","PGK, pgk","2010-115605-O_S76"
"106","Metabolism"," Overview","  01230 Biosynthesis of amino acids [PATH:ko01230]","phosphoglycerate kinase","00123","K00927","PGK, pgk","2010-378007-18092014_S17"
"107","Metabolism"," Overview","  01230 Biosynthesis of amino acids [PATH:ko01230]","phosphoglycerate kinase","00005","K00927","PGK, pgk","GH124-SMALL-CLEAR_S12"
"108","Metabolism"," Overview","  01230 Biosynthesis of amino acids [PATH:ko01230]","phosphoglycerate kinase","00023","K00927","PGK, pgk","H23O-S1"
"109","Metabolism"," Overview","  01230 Biosynthesis of amino acids [PATH:ko01230]","phosphoglycerate kinase","00004","K00927","PGK, pgk","P2CDO-S6"
"110","Metabolism"," Overview","  01230 Biosynthesis of amino acids [PATH:ko01230]","2,3-bisphosphoglycerate-independent phosphoglycerate mutase","00113","K15633","gpmI","2010-378007-18092014_S17"
"111","Metabolism"," Overview","  01230 Biosynthesis of amino acids [PATH:ko01230]","enolase","00039","K01689","ENO, eno","2010-131105_S62"
"112","Metabolism"," Overview","  01230 Biosynthesis of amino acids [PATH:ko01230]","enolase","00295","K01689","ENO, eno","2010-378007-18092014_S17"
"113","Metabolism"," Overview","  01230 Biosynthesis of amino acids [PATH:ko01230]","3-isopropylmalate/(R)-2-methylmalate dehydratase large subunit","00329","K01703","leuC, IPMI-L","2010-378007-18092014_S17"
"114","Metabolism"," Overview","  01230 Biosynthesis of amino acids [PATH:ko01230]","3-isopropylmalate/(R)-2-methylmalate dehydratase small subunit","00270","K01704","leuD, IPMI-S","2010-378007-18092014_S17"
"115","Metabolism"," Overview","  01230 Biosynthesis of amino acids [PATH:ko01230]","dihydroxy-acid dehydratase","00005","K01687","ilvD","2009-91522_S49"
"116","Metabolism"," Overview","  01230 Biosynthesis of amino acids [PATH:ko01230]","dihydroxy-acid dehydratase","00032","K01687","ilvD","2010-113332-O_S40"
"117","Metabolism"," Overview","  01230 Biosynthesis of amino acids [PATH:ko01230]","dihydroxy-acid dehydratase","00005","K01687","ilvD","2013-39845_S58"
"118","Metabolism"," Overview","  01230 Biosynthesis of amino acids [PATH:ko01230]","dihydroxy-acid dehydratase","00040","K01687","ilvD","GH124-slimy-large_S2"
"119","Metabolism"," Overview","  01230 Biosynthesis of amino acids [PATH:ko01230]","dihydroxy-acid dehydratase","00019","K01687","ilvD","H21O-S2"
"120","Metabolism"," Overview","  01230 Biosynthesis of amino acids [PATH:ko01230]","aspartate kinase","00290","K00928","lysC","2010-115605-O_S76"
"121","Metabolism"," Overview","  01230 Biosynthesis of amino acids [PATH:ko01230]","aspartate aminotransferase","00037","K00812","aspB","2009-75775_S38"
"122","Metabolism"," Overview","  01230 Biosynthesis of amino acids [PATH:ko01230]","glutamine synthetase","00001","K01915","glnA, GLUL","2009-129008_S36"
"123","Metabolism"," Overview","  01230 Biosynthesis of amino acids [PATH:ko01230]","cystathionine beta-lyase","00058","K01760","metC","2009-129008_S36"
"124","Metabolism"," Overview","  01230 Biosynthesis of amino acids [PATH:ko01230]","cystathionine beta-lyase","00022","K01760","metC","2010-115605-F_S3"
"125","Metabolism"," Overview","  01230 Biosynthesis of amino acids [PATH:ko01230]","cystathione beta-lyase","00056","K14155","patB, malY","2009-129008_S36"
"126","Metabolism"," Overview","  01230 Biosynthesis of amino acids [PATH:ko01230]","cystathione beta-lyase","00024","K14155","patB, malY","2010-115605-F_S3"
"127","Metabolism"," Overview","  01230 Biosynthesis of amino acids [PATH:ko01230]","5-methyltetrahydropteroyltriglutamate--homocysteine methyltransferase","00043","K00549","metE","2009-129008_S36"
"128","Metabolism"," Overview","  01230 Biosynthesis of amino acids [PATH:ko01230]","5-methyltetrahydropteroyltriglutamate--homocysteine methyltransferase","00022","K00549","metE","2009-86120_S59"
"129","Metabolism"," Overview","  01230 Biosynthesis of amino acids [PATH:ko01230]","5-methyltetrahydropteroyltriglutamate--homocysteine methyltransferase","00100","K00549","metE","2010-112825_S50"
"130","Metabolism"," Overview","  01230 Biosynthesis of amino acids [PATH:ko01230]","5-methyltetrahydropteroyltriglutamate--homocysteine methyltransferase","00076","K00549","metE","H22O-S1"
"131","Metabolism"," Overview","  01230 Biosynthesis of amino acids [PATH:ko01230]","adenosylhomocysteine/aminodeoxyfutalosine nucleosidase","00086","K18284","K18284","2010-113332-O_S40"
"132","Metabolism"," Overview","  01230 Biosynthesis of amino acids [PATH:ko01230]","adenosylhomocysteine/aminodeoxyfutalosine nucleosidase","00009","K18284","K18284","2010-113862-O_S14"
"133","Metabolism"," Overview","  01230 Biosynthesis of amino acids [PATH:ko01230]","adenosylhomocysteine/aminodeoxyfutalosine nucleosidase","00070","K18284","K18284","2010-33561_S7"
"134","Metabolism"," Overview","  01230 Biosynthesis of amino acids [PATH:ko01230]","isocitrate dehydrogenase","00021","K00031","IDH1, IDH2, icd","2009-75775_S38"
"135","Metabolism"," Overview","  01230 Biosynthesis of amino acids [PATH:ko01230]","isocitrate dehydrogenase","00055","K00031","IDH1, IDH2, icd","2010-33561_S7"
"136","Metabolism"," Overview","  01230 Biosynthesis of amino acids [PATH:ko01230]","glutamate-5-semialdehyde dehydrogenase","00062","K00147","proA","2010-113332-O_S40"
"137","Metabolism"," Overview","  01230 Biosynthesis of amino acids [PATH:ko01230]","glutamate-5-semialdehyde dehydrogenase","00051","K00147","proA","P15UCO-S2"
"138","Metabolism"," Overview","  01230 Biosynthesis of amino acids [PATH:ko01230]","pyrroline-5-carboxylate reductase","00199","K00286","proC","2010-378007-18092014_S17"
"139","Metabolism"," Overview","  01230 Biosynthesis of amino acids [PATH:ko01230]","4-hydroxy-tetrahydrodipicolinate synthase","00094","K01714","dapA","2010-33561_S7"
"140","Metabolism"," Overview","  01230 Biosynthesis of amino acids [PATH:ko01230]","4-hydroxy-tetrahydrodipicolinate reductase","00088","K00215","dapB","2010-33561_S7"
"141","Metabolism"," Overview","  01230 Biosynthesis of amino acids [PATH:ko01230]","diaminopimelate decarboxylase","00088","K01586","lysA","2010-115605-O_S76"
"142","Metabolism"," Overview","  01230 Biosynthesis of amino acids [PATH:ko01230]","diaminopimelate decarboxylase","00010","K01586","lysA","P20CDO-S1"
"143","Metabolism"," Overview","  01230 Biosynthesis of amino acids [PATH:ko01230]","diaminopimelate decarboxylase","00137","K01586","lysA","P20CDO-S3"
"144","Metabolism"," Overview","  01230 Biosynthesis of amino acids [PATH:ko01230]","histidinol-phosphate aminotransferase","00086","K00817","hisC","2010-115605-O_S76"
"145","Metabolism"," Overview","  01230 Biosynthesis of amino acids [PATH:ko01230]","histidinol-phosphate aminotransferase","00336","K00817","hisC","2010-115605-O_S76"
"146","Metabolism"," Overview","  01230 Biosynthesis of amino acids [PATH:ko01230]","histidinol-phosphatase (PHP family)","00002","K04486","E3.1.3.15B","2009-129008_S36"
"147","Metabolism"," Overview","  01230 Biosynthesis of amino acids [PATH:ko01230]","3-dehydroquinate dehydratase II","00109","K03786","aroQ, qutE","2010-378007-18092014_S17"
"148","Metabolism"," Overview","  01230 Biosynthesis of amino acids [PATH:ko01230]","shikimate kinase","00031","K00891","E2.7.1.71, aroK, aroL","2010-378007-18092014_S17"
"149","Metabolism"," Overview","  01230 Biosynthesis of amino acids [PATH:ko01230]","chorismate synthase","00093","K01736","aroC","2010-115605-O_S76"
"150","Metabolism"," Overview","  01230 Biosynthesis of amino acids [PATH:ko01230]","chorismate synthase","00191","K01736","aroC","2010-378007-18092014_S17"
"151","Metabolism"," Overview","  01230 Biosynthesis of amino acids [PATH:ko01230]","chorismate mutase / prephenate dehydratase","00087","K14170","pheA","2010-115605-O_S76"
"152","Metabolism"," Overview","  01220 Degradation of aromatic compounds [PATH:ko01220]","chorismate mutase / prephenate dehydratase","00087","K14170","pheA","2010-115605-O_S76"
"153","Metabolism"," Overview","  01220 Degradation of aromatic compounds [PATH:ko01220]","4-oxalocrotonate tautomerase","00205","K01821","praC, xylH","2010-378007-18092014_S17"
"154","Metabolism"," Carbohydrate metabolism","  01220 Degradation of aromatic compounds [PATH:ko01220]","4-oxalocrotonate tautomerase","00205","K01821","praC, xylH","2010-378007-18092014_S17"
"155","Metabolism"," Carbohydrate metabolism","  00010 Glycolysis / Gluconeogenesis [PATH:ko00010]","4-oxalocrotonate tautomerase","00205","K01821","praC, xylH","2010-378007-18092014_S17"
"156","Metabolism"," Carbohydrate metabolism","  00010 Glycolysis / Gluconeogenesis [PATH:ko00010]","triosephosphate isomerase (TIM)","00140","K01803","TPI, tpiA","2010-115605-O_S76"
"157","Metabolism"," Carbohydrate metabolism","  00010 Glycolysis / Gluconeogenesis [PATH:ko00010]","triosephosphate isomerase (TIM)","00316","K01803","TPI, tpiA","2010-115605-O_S76"
"158","Metabolism"," Carbohydrate metabolism","  00010 Glycolysis / Gluconeogenesis [PATH:ko00010]","triosephosphate isomerase (TIM)","00124","K01803","TPI, tpiA","2010-378007-18092014_S17"
"159","Metabolism"," Carbohydrate metabolism","  00010 Glycolysis / Gluconeogenesis [PATH:ko00010]","triosephosphate isomerase (TIM)","00004","K01803","TPI, tpiA","GH124-SMALL-CLEAR_S12"
"160","Metabolism"," Carbohydrate metabolism","  00010 Glycolysis / Gluconeogenesis [PATH:ko00010]","triosephosphate isomerase (TIM)","00022","K01803","TPI, tpiA","H23O-S1"
"161","Metabolism"," Carbohydrate metabolism","  00010 Glycolysis / Gluconeogenesis [PATH:ko00010]","triosephosphate isomerase (TIM)","00003","K01803","TPI, tpiA","P2CDO-S6"
"162","Metabolism"," Carbohydrate metabolism","  00010 Glycolysis / Gluconeogenesis [PATH:ko00010]","glyceraldehyde 3-phosphate dehydrogenase","00142","K00134","GAPDH, gapA","2010-115605-O_S76"
"163","Metabolism"," Carbohydrate metabolism","  00010 Glycolysis / Gluconeogenesis [PATH:ko00010]","glyceraldehyde 3-phosphate dehydrogenase","00318","K00134","GAPDH, gapA","2010-115605-O_S76"
"164","Metabolism"," Carbohydrate metabolism","  00010 Glycolysis / Gluconeogenesis [PATH:ko00010]","glyceraldehyde 3-phosphate dehydrogenase","00122","K00134","GAPDH, gapA","2010-378007-18092014_S17"
"165","Metabolism"," Carbohydrate metabolism","  00010 Glycolysis / Gluconeogenesis [PATH:ko00010]","glyceraldehyde 3-phosphate dehydrogenase","00006","K00134","GAPDH, gapA","GH124-SMALL-CLEAR_S12"
