"PROKKA","GENE","ko","A","B","C","D","D_shorthand"
"PROKKA_00004___7_1","group_7545","K08679","Metabolism"," Carbohydrate metabolism","  00520 Amino sugar and nucleotide sugar metabolism [PATH:ko00520]","UDP-glucuronate 4-epimerase","E5.1.3.6"
"PROKKA_00004___90723_1","group_19429","K01953","Metabolism"," Amino acid metabolism","  00250 Alanine, aspartate and glutamate metabolism [PATH:ko00250]","asparagine synthase (glutamine-hydrolysing)","asnB, ASNS"
"PROKKA_00005___90725_1","group_13322","K00721","Metabolism"," Glycan biosynthesis and metabolism","  00510 N-Glycan biosynthesis [PATH:ko00510]","dolichol-phosphate mannosyltransferase","DPM1"
"PROKKA_00005_1","queF","K09457","Metabolism"," Metabolism of cofactors and vitamins","  00790 Folate biosynthesis [PATH:ko00790]","7-cyano-7-deazaguanine reductase","queF"
"PROKKA_00006___284943_1","group_25762","K00995","Metabolism"," Lipid metabolism","  00564 Glycerophospholipid metabolism [PATH:ko00564]","CDP-diacylglycerol--glycerol-3-phosphate 3-phosphatidyltransferase","pgsA, PGS1"
"PROKKA_00007___163076_1","group_15415","K00963","Metabolism"," Carbohydrate metabolism","  00052 Galactose metabolism [PATH:ko00052]","UTP--glucose-1-phosphate uridylyltransferase","UGP2, galU, galF"
"PROKKA_00007___163076_1","group_15415","K00963","Metabolism"," Carbohydrate metabolism","  00040 Pentose and glucuronate interconversions [PATH:ko00040]","UTP--glucose-1-phosphate uridylyltransferase","UGP2, galU, galF"
"PROKKA_00007___163076_1","group_15415","K00963","Metabolism"," Carbohydrate metabolism","  00500 Starch and sucrose metabolism [PATH:ko00500]","UTP--glucose-1-phosphate uridylyltransferase","UGP2, galU, galF"
"PROKKA_00007___163076_1","group_15415","K00963","Metabolism"," Carbohydrate metabolism","  00520 Amino sugar and nucleotide sugar metabolism [PATH:ko00520]","UTP--glucose-1-phosphate uridylyltransferase","UGP2, galU, galF"
"PROKKA_00008___305358_1","group_26247","K01953","Metabolism"," Amino acid metabolism","  00250 Alanine, aspartate and glutamate metabolism [PATH:ko00250]","asparagine synthase (glutamine-hydrolysing)","asnB, ASNS"
"PROKKA_00010___309569_1","fmt_1","K00604","Metabolism"," Metabolism of cofactors and vitamins","  00670 One carbon pool by folate [PATH:ko00670]","methionyl-tRNA formyltransferase","MTFMT, fmt"
"PROKKA_00010___309569_1","fmt_1","K00604","Genetic Information Processing"," Translation","  00970 Aminoacyl-tRNA biosynthesis [PATH:ko00970]","methionyl-tRNA formyltransferase","MTFMT, fmt"
"PROKKA_00010_1","purM","K01933","Metabolism"," Nucleotide metabolism","  00230 Purine metabolism [PATH:ko00230]","phosphoribosylformylglycinamidine cyclo-ligase","purM"
"PROKKA_00011___309571_1","group_26330","K18429","Metabolism"," Carbohydrate metabolism","  00520 Amino sugar and nucleotide sugar metabolism [PATH:ko00520]","GDP/UDP-N,N'-diacetylbacillosamine 2-epimerase (hydrolysing)","legG, neuC2"
"PROKKA_00011_1","group_13514","K00859","Metabolism"," Metabolism of cofactors and vitamins","  00770 Pantothenate and CoA biosynthesis [PATH:ko00770]","dephospho-CoA kinase","coaE"
"PROKKA_00013___129836_1","group_20061","K02406","Organismal Systems"," Environmental adaptation","  04626 Plant-pathogen interaction [PATH:ko04626]","flagellin","fliC"
"PROKKA_00013___129836_1","group_20061","K02406","Human Diseases"," Infectious diseases","  05132 Salmonella infection [PATH:ko05132]","flagellin","fliC"
"PROKKA_00013___129836_1","group_20061","K02406","Cellular Processes"," Cell motility","  02040 Flagellar assembly [PATH:ko02040]","flagellin","fliC"
"PROKKA_00013___129836_1","group_20061","K02406","Organismal Systems"," Immune system","  04621 NOD-like receptor signaling pathway [PATH:ko04621]","flagellin","fliC"
"PROKKA_00013___129836_1","group_20061","K02406","Environmental Information Processing"," Signal transduction","  02020 Two-component system [PATH:ko02020]","flagellin","fliC"
"PROKKA_00013___129836_1","group_20061","K02406","Human Diseases"," Infectious diseases","  05134 Legionellosis [PATH:ko05134]","flagellin","fliC"
"PROKKA_00013_1","dapF","K01778","Metabolism"," Overview","  01230 Biosynthesis of amino acids [PATH:ko01230]","diaminopimelate epimerase","dapF"
"PROKKA_00013_1","dapF","K01778","Metabolism"," Amino acid metabolism","  00300 Lysine biosynthesis [PATH:ko00300]","diaminopimelate epimerase","dapF"
"PROKKA_00014_1","rplT","K02887","Genetic Information Processing"," Translation","  03010 Ribosome [PATH:ko03010]","large subunit ribosomal protein L20","RP-L20, MRPL20, rplT"
"PROKKA_00015___94778_1","group_14914","K01817","Metabolism"," Overview","  01230 Biosynthesis of amino acids [PATH:ko01230]","phosphoribosylanthranilate isomerase","trpF"
"PROKKA_00015___94778_1","group_14914","K01817","Metabolism"," Amino acid metabolism","  00400 Phenylalanine, tyrosine and tryptophan biosynthesis [PATH:ko00400]","phosphoribosylanthranilate isomerase","trpF"
"PROKKA_00015_1","rpmI","K02916","Genetic Information Processing"," Translation","  03010 Ribosome [PATH:ko03010]","large subunit ribosomal protein L35","RP-L35, MRPL35, rpmI"
"PROKKA_00017___16145_1","group_10150","K04486","Metabolism"," Amino acid metabolism","  00340 Histidine metabolism [PATH:ko00340]","histidinol-phosphatase (PHP family)","E3.1.3.15B"
"PROKKA_00017___16145_1","group_10150","K04486","Metabolism"," Overview","  01230 Biosynthesis of amino acids [PATH:ko01230]","histidinol-phosphatase (PHP family)","E3.1.3.15B"
"PROKKA_00017_1","metE","K00549","Metabolism"," Amino acid metabolism","  00270 Cysteine and methionine metabolism [PATH:ko00270]","5-methyltetrahydropteroyltriglutamate--homocysteine methyltransferase","metE"
"PROKKA_00017_1","metE","K00549","Metabolism"," Metabolism of other amino acids","  00450 Selenocompound metabolism [PATH:ko00450]","5-methyltetrahydropteroyltriglutamate--homocysteine methyltransferase","metE"
"PROKKA_00017_1","metE","K00549","Metabolism"," Overview","  01230 Biosynthesis of amino acids [PATH:ko01230]","5-methyltetrahydropteroyltriglutamate--homocysteine methyltransferase","metE"
"PROKKA_00018___138142_1","group_20293","K07151","Metabolism"," Glycan biosynthesis and metabolism","  00513 Various types of N-glycan biosynthesis [PATH:ko00513]","dolichyl-diphosphooligosaccharide--protein glycosyltransferase","STT3"
"PROKKA_00018___138142_1","group_20293","K07151","Metabolism"," Glycan biosynthesis and metabolism","  00510 N-Glycan biosynthesis [PATH:ko00510]","dolichyl-diphosphooligosaccharide--protein glycosyltransferase","STT3"
"PROKKA_00018___138142_1","group_20293","K07151","Genetic Information Processing"," Folding, sorting and degradation","  04141 Protein processing in endoplasmic reticulum [PATH:ko04141]","dolichyl-diphosphooligosaccharide--protein glycosyltransferase","STT3"
"PROKKA_00019___110571_1","group_1553","K08352","Metabolism"," Energy metabolism","  00920 Sulfur metabolism [PATH:ko00920]","thiosulfate reductase / polysulfide reductase chain A","phsA, psrA"
"PROKKA_00020___16151_1","group_14346","K02343","Metabolism"," Nucleotide metabolism","  00230 Purine metabolism [PATH:ko00230]","DNA polymerase III subunit gamma/tau","DPO3G, dnaX"
"PROKKA_00020___16151_1","group_14346","K02343","Genetic Information Processing"," Replication and repair","  03030 DNA replication [PATH:ko03030]","DNA polymerase III subunit gamma/tau","DPO3G, dnaX"
"PROKKA_00020___16151_1","group_14346","K02343","Metabolism"," Nucleotide metabolism","  00240 Pyrimidine metabolism [PATH:ko00240]","DNA polymerase III subunit gamma/tau","DPO3G, dnaX"
"PROKKA_00020___16151_1","group_14346","K02343","Genetic Information Processing"," Replication and repair","  03440 Homologous recombination [PATH:ko03440]","DNA polymerase III subunit gamma/tau","DPO3G, dnaX"
"PROKKA_00020___16151_1","group_14346","K02343","Genetic Information Processing"," Replication and repair","  03430 Mismatch repair [PATH:ko03430]","DNA polymerase III subunit gamma/tau","DPO3G, dnaX"
"PROKKA_00021___163104_1","group_23422","K07151","Genetic Information Processing"," Folding, sorting and degradation","  04141 Protein processing in endoplasmic reticulum [PATH:ko04141]","dolichyl-diphosphooligosaccharide--protein glycosyltransferase","STT3"
"PROKKA_00021___163104_1","group_23422","K07151","Metabolism"," Glycan biosynthesis and metabolism","  00510 N-Glycan biosynthesis [PATH:ko00510]","dolichyl-diphosphooligosaccharide--protein glycosyltransferase","STT3"
"PROKKA_00021___163104_1","group_23422","K07151","Metabolism"," Glycan biosynthesis and metabolism","  00513 Various types of N-glycan biosynthesis [PATH:ko00513]","dolichyl-diphosphooligosaccharide--protein glycosyltransferase","STT3"
"PROKKA_00021___59594_1","group_18329","K02411","Cellular Processes"," Cell motility","  02040 Flagellar assembly [PATH:ko02040]","flagellar assembly protein FliH","fliH"
"PROKKA_00022___16155_1","copA_1","K17686","Environmental Information Processing"," Signal transduction","  04016 MAPK signaling pathway - plant [PATH:ko04016]","Cu+-exporting ATPase","copA, ATP7"
"PROKKA_00022___16155_1","copA_1","K17686","Human Diseases"," Drug resistance","  01524 Platinum drug resistance [PATH:ko01524]","Cu+-exporting ATPase","copA, ATP7"
"PROKKA_00022___297363_1","group_25988","K11085","Environmental Information Processing"," Membrane transport","  02010 ABC transporters [PATH:ko02010]","ATP-binding cassette, subfamily B, bacterial MsbA","msbA"
"PROKKA_00023___297365_1","group_25989","K01883","Genetic Information Processing"," Translation","  00970 Aminoacyl-tRNA biosynthesis [PATH:ko00970]","cysteinyl-tRNA synthetase","CARS, cysS"
"PROKKA_00023___8182_1","group_16469","K00332","Metabolism"," Energy metabolism","  00190 Oxidative phosphorylation [PATH:ko00190]","NADH-quinone oxidoreductase subunit C","nuoC"
"PROKKA_00025___138156_1","group_20295","K02501","Metabolism"," Amino acid metabolism","  00340 Histidine metabolism [PATH:ko00340]","glutamine amidotransferase","hisH"
"PROKKA_00025___138156_1","group_20295","K02501","Metabolism"," Overview","  01230 Biosynthesis of amino acids [PATH:ko01230]","glutamine amidotransferase","hisH"
"PROKKA_00026___83210_1","ribD_1","K11752","Cellular Processes"," Cellular community - prokaryotes","  02024 Quorum sensing [PATH:ko02024]","diaminohydroxyphosphoribosylaminopyrimidine deaminase / 5-amino-6-(5-phosphoribosylamino)uracil reductase","ribD"
"PROKKA_00026___83210_1","ribD_1","K11752","Metabolism"," Metabolism of cofactors and vitamins","  00740 Riboflavin metabolism [PATH:ko00740]","diaminohydroxyphosphoribosylaminopyrimidine deaminase / 5-amino-6-(5-phosphoribosylamino)uracil reductase","ribD"
"PROKKA_00027___309603_1","group_26332","K00859","Metabolism"," Metabolism of cofactors and vitamins","  00770 Pantothenate and CoA biosynthesis [PATH:ko00770]","dephospho-CoA kinase","coaE"
"PROKKA_00028___43762_1","group_17901","K00859","Metabolism"," Metabolism of cofactors and vitamins","  00770 Pantothenate and CoA biosynthesis [PATH:ko00770]","dephospho-CoA kinase","coaE"
"PROKKA_00029___249141_1","pel_1","K01728","Metabolism"," Carbohydrate metabolism","  00040 Pentose and glucuronate interconversions [PATH:ko00040]","pectate lyase","pel"
"PROKKA_00029___249141_1","pel_1","K01728","Cellular Processes"," Cellular community - prokaryotes","  02024 Quorum sensing [PATH:ko02024]","pectate lyase","pel"
"PROKKA_00031___59614_1","group_1341","K01613","Metabolism"," Lipid metabolism","  00564 Glycerophospholipid metabolism [PATH:ko00564]","phosphatidylserine decarboxylase","psd, PISD"
"PROKKA_00031_1","ung","K03648","Genetic Information Processing"," Replication and repair","  03410 Base excision repair [PATH:ko03410]","uracil-DNA glycosylase","UNG, UDG"
"PROKKA_00031_1","ung","K03648","Human Diseases"," Immune diseases","  05340 Primary immunodeficiency [PATH:ko05340]","uracil-DNA glycosylase","UNG, UDG"
"PROKKA_00032___63_1","group_19839","K17103","Metabolism"," Lipid metabolism","  00564 Glycerophospholipid metabolism [PATH:ko00564]","CDP-diacylglycerol---serine O-phosphatidyltransferase","CHO1, pssA"
"PROKKA_00032___63_1","group_19839","K17103","Metabolism"," Amino acid metabolism","  00260 Glycine, serine and threonine metabolism [PATH:ko00260]","CDP-diacylglycerol---serine O-phosphatidyltransferase","CHO1, pssA"
"PROKKA_00033_1","thrZ","K01868","Genetic Information Processing"," Translation","  00970 Aminoacyl-tRNA biosynthesis [PATH:ko00970]","threonyl-tRNA synthetase","TARS, thrS"
"PROKKA_00035_1","gdhA","K00262","Metabolism"," Energy metabolism","  00910 Nitrogen metabolism [PATH:ko00910]","glutamate dehydrogenase (NADP+)","E1.4.1.4, gdhA"
"PROKKA_00035_1","gdhA","K00262","Metabolism"," Amino acid metabolism","  00220 Arginine biosynthesis [PATH:ko00220]","glutamate dehydrogenase (NADP+)","E1.4.1.4, gdhA"
"PROKKA_00035_1","gdhA","K00262","Metabolism"," Amino acid metabolism","  00250 Alanine, aspartate and glutamate metabolism [PATH:ko00250]","glutamate dehydrogenase (NADP+)","E1.4.1.4, gdhA"
"PROKKA_00036___83230_1","cfiA_1","K01960","Metabolism"," Energy metabolism","  00720 Carbon fixation pathways in prokaryotes [PATH:ko00720]","pyruvate carboxylase subunit B","pycB"
"PROKKA_00036___83230_1","cfiA_1","K01960","Metabolism"," Overview","  01200 Carbon metabolism [PATH:ko01200]","pyruvate carboxylase subunit B","pycB"
"PROKKA_00036___83230_1","cfiA_1","K01960","Metabolism"," Overview","  01230 Biosynthesis of amino acids [PATH:ko01230]","pyruvate carboxylase subunit B","pycB"
"PROKKA_00036___83230_1","cfiA_1","K01960","Metabolism"," Carbohydrate metabolism","  00620 Pyruvate metabolism [PATH:ko00620]","pyruvate carboxylase subunit B","pycB"
"PROKKA_00036___83230_1","cfiA_1","K01960","Metabolism"," Carbohydrate metabolism","  00020 Citrate cycle (TCA cycle) [PATH:ko00020]","pyruvate carboxylase subunit B","pycB"
"PROKKA_00037___134075_1","group_20221","K03154","Genetic Information Processing"," Folding, sorting and degradation","  04122 Sulfur relay system [PATH:ko04122]","sulfur carrier protein","thiS"
"PROKKA_00038_1","cfiB","K01959","Metabolism"," Carbohydrate metabolism","  00620 Pyruvate metabolism [PATH:ko00620]","pyruvate carboxylase subunit A","pycA"
"PROKKA_00038_1","cfiB","K01959","Metabolism"," Overview","  01230 Biosynthesis of amino acids [PATH:ko01230]","pyruvate carboxylase subunit A","pycA"
"PROKKA_00038_1","cfiB","K01959","Metabolism"," Overview","  01200 Carbon metabolism [PATH:ko01200]","pyruvate carboxylase subunit A","pycA"
"PROKKA_00038_1","cfiB","K01959","Metabolism"," Energy metabolism","  00720 Carbon fixation pathways in prokaryotes [PATH:ko00720]","pyruvate carboxylase subunit A","pycA"
"PROKKA_00038_1","cfiB","K01959","Metabolism"," Carbohydrate metabolism","  00020 Citrate cycle (TCA cycle) [PATH:ko00020]","pyruvate carboxylase subunit A","pycA"
"PROKKA_00040___12195_1","group_16585","K03100","Cellular Processes"," Cellular community - prokaryotes","  02024 Quorum sensing [PATH:ko02024]","signal peptidase I","lepB, TPP"
"PROKKA_00040___12195_1","group_16585","K03100","Genetic Information Processing"," Folding, sorting and degradation","  03060 Protein export [PATH:ko03060]","signal peptidase I","lepB, TPP"
"PROKKA_00040___194192_1","group_16105","K05772","Environmental Information Processing"," Membrane transport","  02010 ABC transporters [PATH:ko02010]","tungstate transport system substrate-binding protein","tupA, vupA"
"PROKKA_00041___12197_1","lepB_2","K03100","Cellular Processes"," Cellular community - prokaryotes","  02024 Quorum sensing [PATH:ko02024]","signal peptidase I","lepB, TPP"
"PROKKA_00041___12197_1","lepB_2","K03100","Genetic Information Processing"," Folding, sorting and degradation","  03060 Protein export [PATH:ko03060]","signal peptidase I","lepB, TPP"
"PROKKA_00041___194194_1","group_23925","K05773","Environmental Information Processing"," Membrane transport","  02010 ABC transporters [PATH:ko02010]","tungstate transport system permease protein","tupB, vupB"
"PROKKA_00042___352301_1","group_3264","K01955","Metabolism"," Amino acid metabolism","  00250 Alanine, aspartate and glutamate metabolism [PATH:ko00250]","carbamoyl-phosphate synthase large subunit","carB, CPA2"
"PROKKA_00042___352301_1","group_3264","K01955","Metabolism"," Nucleotide metabolism","  00240 Pyrimidine metabolism [PATH:ko00240]","carbamoyl-phosphate synthase large subunit","carB, CPA2"
"PROKKA_00042_1","lspA","K03101","Genetic Information Processing"," Folding, sorting and degradation","  03060 Protein export [PATH:ko03060]","signal peptidase II","lspA"
"PROKKA_00043___55514_1","group_13135","K01728","Metabolism"," Carbohydrate metabolism","  00040 Pentose and glucuronate interconversions [PATH:ko00040]","pectate lyase","pel"
"PROKKA_00043___55514_1","group_13135","K01728","Cellular Processes"," Cellular community - prokaryotes","  02024 Quorum sensing [PATH:ko02024]","pectate lyase","pel"
"PROKKA_00043_1","glmM","K03431","Metabolism"," Carbohydrate metabolism","  00520 Amino sugar and nucleotide sugar metabolism [PATH:ko00520]","phosphoglucosamine mutase","glmM"
"PROKKA_00044___16199_1","group_10154","K01918","Metabolism"," Metabolism of other amino acids","  00410 beta-Alanine metabolism [PATH:ko00410]","pantoate--beta-alanine ligase","panC"
"PROKKA_00044___16199_1","group_10154","K01918","Metabolism"," Metabolism of cofactors and vitamins","  00770 Pantothenate and CoA biosynthesis [PATH:ko00770]","pantoate--beta-alanine ligase","panC"
"PROKKA_00044___8224_1","group_16471","K00951","Metabolism"," Nucleotide metabolism","  00230 Purine metabolism [PATH:ko00230]","GTP pyrophosphokinase","relA"
"PROKKA_00044_1","rpsT","K02968","Genetic Information Processing"," Translation","  03010 Ribosome [PATH:ko03010]","small subunit ribosomal protein S20","RP-S20, rpsT"
"PROKKA_00047___16205_1","group_12232","K00948","Metabolism"," Carbohydrate metabolism","  00030 Pentose phosphate pathway [PATH:ko00030]","ribose-phosphate pyrophosphokinase","PRPS, prsA"
"PROKKA_00047___16205_1","group_12232","K00948","Metabolism"," Nucleotide metabolism","  00230 Purine metabolism [PATH:ko00230]","ribose-phosphate pyrophosphokinase","PRPS, prsA"
"PROKKA_00047___16205_1","group_12232","K00948","Metabolism"," Overview","  01230 Biosynthesis of amino acids [PATH:ko01230]","ribose-phosphate pyrophosphokinase","PRPS, prsA"
"PROKKA_00047___16205_1","group_12232","K00948","Metabolism"," Overview","  01200 Carbon metabolism [PATH:ko01200]","ribose-phosphate pyrophosphokinase","PRPS, prsA"
"PROKKA_00047___241411_1","group_24768","K06013","Metabolism"," Metabolism of terpenoids and polyketides","  00900 Terpenoid backbone biosynthesis [PATH:ko00900]","STE24 endopeptidase","STE24"
"PROKKA_00048___249179_1","group_6658","K02471","Environmental Information Processing"," Membrane transport","  02010 ABC transporters [PATH:ko02010]","vitamin B12/bleomycin/antimicrobial peptide transport system ATP-binding/permease protein","bacA"
"PROKKA_00049_1","dgkA","K00901","Human Diseases"," Cancers","  05231 Choline metabolism in cancer [PATH:ko05231]","diacylglycerol kinase (ATP)","dgkA, DGK"
"PROKKA_00049_1","dgkA","K00901","Metabolism"," Lipid metabolism","  00561 Glycerolipid metabolism [PATH:ko00561]","diacylglycerol kinase (ATP)","dgkA, DGK"
"PROKKA_00049_1","dgkA","K00901","Metabolism"," Lipid metabolism","  00564 Glycerophospholipid metabolism [PATH:ko00564]","diacylglycerol kinase (ATP)","dgkA, DGK"
"PROKKA_00049_1","dgkA","K00901","Environmental Information Processing"," Signal transduction","  04070 Phosphatidylinositol signaling system [PATH:ko04070]","diacylglycerol kinase (ATP)","dgkA, DGK"
"PROKKA_00049_1","dgkA","K00901","Environmental Information Processing"," Signal transduction","  04072 Phospholipase D signaling pathway [PATH:ko04072]","diacylglycerol kinase (ATP)","dgkA, DGK"
"PROKKA_00050_1","exoA","K01142","Genetic Information Processing"," Replication and repair","  03410 Base excision repair [PATH:ko03410]","exodeoxyribonuclease III","E3.1.11.2, xthA"
"PROKKA_00051___163164_1","group_23423","K01079","Metabolism"," Overview","  01200 Carbon metabolism [PATH:ko01200]","phosphoserine phosphatase","serB, PSPH"
"PROKKA_00051___163164_1","group_23423","K01079","Metabolism"," Amino acid metabolism","  00260 Glycine, serine and threonine metabolism [PATH:ko00260]","phosphoserine phosphatase","serB, PSPH"
"PROKKA_00051___163164_1","group_23423","K01079","Metabolism"," Overview","  01230 Biosynthesis of amino acids [PATH:ko01230]","phosphoserine phosphatase","serB, PSPH"
"PROKKA_00051___163164_1","group_23423","K01079","Metabolism"," Energy metabolism","  00680 Methane metabolism [PATH:ko00680]","phosphoserine phosphatase","serB, PSPH"
"PROKKA_00051___23725_1","group_17269","K06920","Metabolism"," Metabolism of cofactors and vitamins","  00790 Folate biosynthesis [PATH:ko00790]","7-cyano-7-deazaguanine synthase","queC"
"PROKKA_00053___16217_1","group_14350","K03596","Human Diseases"," Infectious diseases","  05134 Legionellosis [PATH:ko05134]","GTP-binding protein LepA","lepA"
"PROKKA_00053___31654_1","gltX2","K01885","Genetic Information Processing"," Translation","  00970 Aminoacyl-tRNA biosynthesis [PATH:ko00970]","glutamyl-tRNA synthetase","EARS, gltX"
"PROKKA_00053___31654_1","gltX2","K01885","Metabolism"," Metabolism of cofactors and vitamins","  00860 Porphyrin and chlorophyll metabolism [PATH:ko00860]","glutamyl-tRNA synthetase","EARS, gltX"
"PROKKA_00054___16219_1","group_14351","K01821","Metabolism"," Overview","  01220 Degradation of aromatic compounds [PATH:ko01220]","4-oxalocrotonate tautomerase","praC, xylH"
"PROKKA_00054___16219_1","group_14351","K01821","Metabolism"," Xenobiotics biodegradation and metabolism","  00621 Dioxin degradation [PATH:ko00621]","4-oxalocrotonate tautomerase","praC, xylH"
"PROKKA_00054___16219_1","group_14351","K01821","Metabolism"," Xenobiotics biodegradation and metabolism","  00622 Xylene degradation [PATH:ko00622]","4-oxalocrotonate tautomerase","praC, xylH"
"PROKKA_00054___16219_1","group_14351","K01821","Metabolism"," Xenobiotics biodegradation and metabolism","  00362 Benzoate degradation [PATH:ko00362]","4-oxalocrotonate tautomerase","praC, xylH"
"PROKKA_00057_1","znuA","K09815","Environmental Information Processing"," Membrane transport","  02010 ABC transporters [PATH:ko02010]","zinc transport system substrate-binding protein","znuA"
"PROKKA_00059___16229_1","group_6248","K11749","Cellular Processes"," Cellular community - prokaryotes","  02024 Quorum sensing [PATH:ko02024]","regulator of sigma E protease","rseP"
"PROKKA_00059___16229_1","group_6248","K11749","Cellular Processes"," Cell growth and death","  04112 Cell cycle - Caulobacter [PATH:ko04112]","regulator of sigma E protease","rseP"
"PROKKA_00059_1","znuC","K09817","Environmental Information Processing"," Membrane transport","  02010 ABC transporters [PATH:ko02010]","zinc transport system ATP-binding protein","znuC"
"PROKKA_00060_1","znuB","K09816","Environmental Information Processing"," Membrane transport","  02010 ABC transporters [PATH:ko02010]","zinc transport system permease protein","znuB"
"PROKKA_00064_1","purN","K11175","Metabolism"," Metabolism of cofactors and vitamins","  00670 One carbon pool by folate [PATH:ko00670]","phosphoribosylglycinamide formyltransferase 1","purN"
"PROKKA_00064_1","purN","K11175","Metabolism"," Nucleotide metabolism","  00230 Purine metabolism [PATH:ko00230]","phosphoribosylglycinamide formyltransferase 1","purN"
"PROKKA_00065___129_1","group_1342","K01613","Metabolism"," Lipid metabolism","  00564 Glycerophospholipid metabolism [PATH:ko00564]","phosphatidylserine decarboxylase","psd, PISD"
"PROKKA_00065___16241_1","group_5575","K11085","Environmental Information Processing"," Membrane transport","  02010 ABC transporters [PATH:ko02010]","ATP-binding cassette, subfamily B, bacterial MsbA","msbA"
"PROKKA_00065___194242_1","group_23926","K20810","Metabolism"," Metabolism of cofactors and vitamins","  00130 Ubiquinone and other terpenoid-quinone biosynthesis [PATH:ko00130]","aminodeoxyfutalosine deaminase","mqnX"
"PROKKA_00065___352347_1","group_26876","K20810","Metabolism"," Metabolism of cofactors and vitamins","  00130 Ubiquinone and other terpenoid-quinone biosynthesis [PATH:ko00130]","aminodeoxyfutalosine deaminase","mqnX"
"PROKKA_00069_1","clpP","K01358","Cellular Processes"," Cell growth and death","  04112 Cell cycle - Caulobacter [PATH:ko04112]","ATP-dependent Clp protease, protease subunit","clpP, CLPP"
"PROKKA_00069_1","clpP","K01358","Organismal Systems"," Aging","  04212 Longevity regulating pathway - worm [PATH:ko04212]","ATP-dependent Clp protease, protease subunit","clpP, CLPP"
"PROKKA_00070___16251_1","group_10156","K01921","Human Diseases"," Drug resistance","  01502 Vancomycin resistance [PATH:ko01502]","D-alanine-D-alanine ligase","ddl"
"PROKKA_00070___16251_1","group_10156","K01921","Metabolism"," Metabolism of other amino acids","  00473 D-Alanine metabolism [PATH:ko00473]","D-alanine-D-alanine ligase","ddl"
"PROKKA_00070___16251_1","group_10156","K01921","Metabolism"," Glycan biosynthesis and metabolism","  00550 Peptidoglycan biosynthesis [PATH:ko00550]","D-alanine-D-alanine ligase","ddl"
