""	"acrF"	"adeA"	"amrB"	"cmeA"	"Escherichia coli gyrA conferring resistance to fluoroquinolones"	"macA"	"macB"	"mexB"	"mexQ"	"Mycobacterium tuberculosis gyrA conferring resistance to fluoroquinolones"	"oprM"	"Staphylococcus aureus rpoB mutants conferring resistance to rifampicin"	"tet32"
"H23O-S1"	1	0	0	1	0	1	1	0	1	1	0	1	1
"H22O-S1"	1	0	0	1	0	1	1	0	1	1	0	1	0
"P20CDO-S1"	1	0	0	1	0	1	1	0	1	1	0	1	0
"P15UCO-S2"	1	0	0	1	0	1	1	0	1	1	0	1	0
"P13UCO-S3"	1	0	0	1	0	1	1	0	1	1	0	1	0
"P3UCO1"	1	0	0	1	0	1	1	0	1	1	0	1	0
"P3UCB1"	1	0	0	1	0	1	1	0	1	1	0	1	0
"P2CDO-S6"	1	0	0	1	0	1	1	0	1	1	0	1	0
"P2CDO4"	1	0	0	1	0	1	1	0	1	1	0	1	0
"P2CDO3"	1	0	0	1	0	1	1	0	1	1	0	1	0
"P20CDO-S3"	1	0	0	1	0	1	1	0	1	1	0	1	0
"P20CDO-S2"	1	0	0	1	1	1	1	0	1	0	0	1	0
